degree distribution (probability density function of the degree in logarithmic bins) 
2	0.0761068
3	0.0501981
4.47942	0.0571331
6.44444	0.0378997
8.5	0.0190393
11.442	0.0263345
16.3896	0.02508
22.9054	0.0169601
31.3719	0.0154205
43.0138	0.011627
50	0.000589893

degree distribution (degree-occurrences) 
2	0.0578
3	0.0526
4	0.043
5	0.0396
6	0.042
7	0.0336
8	0.0262
9	0.0262
10	0.0254
11	0.0278
12	0.024
13	0.0228
14	0.0248
15	0.0188
16	0.025
17	0.0248
18	0.0192
19	0.0188
20	0.0196
21	0.016
22	0.0214
23	0.014
24	0.0184
25	0.0174
26	0.0158
27	0.0166
28	0.0166
29	0.0154
30	0.0168
31	0.0144
32	0.0144
33	0.0148
34	0.0164
35	0.0142
36	0.0142
37	0.013
38	0.0092
39	0.0106
40	0.015
41	0.014
42	0.0132
43	0.0124
44	0.0114
45	0.012
46	0.0128
47	0.0132
48	0.011
49	0.0122
50	0.0112


--------------------------------------
community distribution (size-occurrences)
10	0.0740741
11	0.0222222
12	0.0296296
13	0.0444444
14	0.0296296
15	0.0444444
16	0.0148148
17	0.0444444
18	0.0296296
19	0.037037
20	0.00740741
21	0.0296296
23	0.00740741
24	0.0222222
25	0.00740741
26	0.00740741
28	0.0222222
29	0.0296296
30	0.0296296
31	0.00740741
32	0.0148148
33	0.00740741
35	0.0148148
36	0.0222222
37	0.00740741
38	0.0148148
39	0.00740741
40	0.00740741
42	0.00740741
45	0.00740741
46	0.0148148
47	0.0222222
48	0.00740741
50	0.00740741
51	0.0222222
52	0.00740741
53	0.0148148
55	0.0222222
56	0.00740741
57	0.00740741
59	0.00740741
61	0.00740741
62	0.00740741
63	0.00740741
64	0.00740741
66	0.00740741
67	0.0148148
68	0.00740741
70	0.00740741
71	0.00740741
72	0.0148148
73	0.0148148
76	0.00740741
77	0.0148148
78	0.00740741
80	0.00740741
82	0.00740741
85	0.00740741
87	0.00740741
89	0.00740741
93	0.00740741
94	0.00740741
96	0.00740741
98	0.00740741
99	0.00740741


--------------------------------------
mixing parameter
0.4	0.0002
0.5	0.0468
0.570593	0.0038
0.6	0.0198
0.62917	0.0216
0.665579	0.1484
0.692044	0.314
0.712737	0.2818
0.745957	0.0898
0.775573	0.015
0.800172	0.022
0.833125	0.0094
0.863095	0.0006
0.909091	0.0002
1	0.0266

--------------------------------------
